timestamp,src_ip,dst_ip,src_port,dst_port,protocol,bytes_sent,bytes_received,user_agent,url,is_internal_traffic,label,attack_type,hour,dow,url_host,bytes_total,is_web,temporal_score,relational_score,xgb_proba
2025-10-30 03:45:00,1.109.200.95,220.104.40.191,13936,80,TCP,19943,31111,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",https://portal.example.org/.env?id=131427,1,0,benign,3,3,portal.example.org,51054,1,1251747968.0,0.21563517,0.012513871
2025-10-11 14:06:00,1.114.12.59,154.97.140.204,21,22,TCP,31877,42581,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",,0,0,benign,14,5,,74458,0,380434656.0,0.22139975,0.04423078
2025-12-16 07:12:00,1.120.229.133,251.212.54.33,44201,53,TCP,9675,31559,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",https://api.service.io/test.php?id=582634,0,0,benign,7,1,api.service.io,41234,0,363730176.0,0.21563517,0.0023548566
2025-10-26 10:56:00,1.122.157.112,127.149.219.114,80,80,TCP,10003,11137,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",,0,1,brute-force,10,6,,21140,1,741263424.0,0.22139975,0.7756569
2025-12-01 03:26:00,1.136.27.125,233.219.48.52,47593,80,TCP,4359,17846,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",https://app.company.in/config.php?id=602562,0,0,benign,3,0,app.company.in,22205,1,544545920.0,0.21563517,0.0024835132
2025-12-07 21:38:00,1.139.213.82,29.70.151.121,80,80,TCP,24441,17834,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",,0,1,brute-force,21,6,,42275,1,692569344.0,0.22139975,0.6850877
2025-12-05 01:48:00,1.140.24.207,106.78.9.10,56427,21,TCP,135591,127197,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",https://api.service.io/.env?id=541985,0,0,benign,1,4,api.service.io,262788,0,21121929216.0,0.21563517,0.0023012378
2025-11-21 06:42:00,1.153.240.194,232.253.60.111,443,443,TCP,3085,8385,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",https://webmail.corp/shell?id=829232,0,1,credential-stuffing,6,4,webmail.corp,11470,1,7872406016.0,0.21563517,0.7294044
2025-10-24 22:16:00,1.155.227.98,107.80.96.51,53,25,TCP,25644,55279,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",https://internal.bank.local/.env?id=611180,0,0,benign,22,4,internal.bank.local,80923,0,431818208.0,0.21563517,0.00830256
2025-11-25 08:50:00,1.158.22.45,143.196.66.162,43410,443,TCP,5348,9388,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",,0,0,benign,8,1,,14736,1,900337344.0,0.22139975,0.00463523
2025-11-02 09:16:00,1.161.127.171,223.27.161.172,57940,3306,UDP,27948,97643,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",,0,0,benign,9,6,,125591,0,1250116608.0,0.22139975,0.0008161888
