id,label
{S7A7-Y8QZ65MW-8738SAZP},0
{G7A8-G1OB94NR-3006NTXH},0
{R3L8-N0LW95FR-8358LLXS},0
{I2F1-B5FB51FL-3128HBUL},0
{P7R6-C5TV18CT-1677DWWM},0
{K5Q6-F1AC50QP-3788PDUC},0
{M0F6-O2FY64UM-9526UMPP},0
{F5H8-O7QK60SE-4347ESVI},0
{C2M6-A5GC40PF-4088NJRX},0
{L3M7-Z9BL18KF-1387XAMK},0
{A8I5-F8FO49AQ-4726BXKP},0
{R1I2-X4AG89EH-2412NNLL},0
{R3C4-B1YX79FG-7714SQSG},0
{Z1J6-D5XS29NX-0162ZKAY},0
{N3H6-P6MN12KM-3372QANC},0
{G7U6-E1JC41II-0811ZBMF},0
{A2E1-R2KS86KQ-5486MARC},0
{O2W8-X6QZ35YC-1006TYAF},0
{U8U5-J0MM57ZW-0338DHKH},0
{C3N2-R5RV93VP-1177BSIS},0
{T2B1-F7IG00PL-6808WVFW},0
{C5K8-X7JE47CG-4946ZQLL},0
{D8K8-U5MV93NZ-5230VQGR},0
{W9A3-T7UH38GU-9008UGDF},0
{T4T2-P5DU98YI-3944INJX},0
{F4V0-C1JY57KM-4456VWLD},0
{Z4Z8-V1WH61QC-4952SEMB},0
{H0Y7-T3MP38OO-7150YEPM},0
{I3U1-F7XR11HT-3968TSLS},0
{X9B7-E5WE00TI-6386EKUG},0
{C6K6-N7MO45KF-6878TTQM},0
{K4G2-W0DL56OV-8971UYVR},0
{P9M0-P7QR63FE-6901WOMG},0
{W3A6-J9DX69PL-9728DUZZ},0
{U1P5-V5YK40CX-2773ASZT},0
{H4A4-D0SI78DP-2779PPMB},0
{N0F2-O6ST15FU-5309BSSO},0
{A7P1-O0IY44NE-5771HWRR},0
{E8G8-P6KW75CZ-3436WBBF},0
{S9A9-O9ET92GT-5933VSWZ},0
{O3H9-P9AG29PU-1775YSXJ},0
{K9N2-Q2OH86NM-9088NJDK},0
{I1V2-O7KB65VH-2027ZGLT},0
{B9U9-V9QF50KQ-5765DWBW},0
{U0E7-E0SZ93LD-8215JHEE},0
