id,label
{D3T6-O8NM96KK-4228FZKP},0
{R8H5-R2ZW22KL-0377UBLJ},0
{N5A2-W5LE24AD-3983CXQJ},0
{Q6U5-T5YU54VK-2335CAKA},0
{D7N3-R3FO94ZV-8686YZYX},0
{W3U0-C7NN29NG-1258UYLP},0
{D4H6-D2BJ15RB-4068SKAS},0
{G2S2-K8PU20UU-7850NVPE},0
{E1L2-E0LJ31QF-7955AXLW},0
{L1J6-Y9HC83IZ-8345LUST},0
{A8I0-E3KA21XR-4229HLSW},0
{P8A9-N0YS19YG-8855YZYK},0
{N2Q7-O1EU32IQ-2868BDBI},0
{T7F0-F4DP47CT-2798HHIU},0
{B0T2-N6LV08YO-8794LVQD},0
{R7C8-M4QU93OM-7670RXNT},0
{W9Q0-V0VK61VU-3655BHHZ},0
{H2X9-Y1EM46ST-7860OQQQ},0
{U7L5-U3PL72GE-5534IOQW},0
{T1J7-W6BM21UR-4097VDGD},0
{B6D1-I4RE01AI-6114YYUZ},0
{C8I2-E0QO70CQ-9714UDOX},0
{Z6U3-B7QW34HF-8223MWDI},0
{S7D9-I1DL87ZN-3740PCAQ},0
{K8J8-P8MI91SW-7271UBXU},0
{Z5K5-M9IU15RX-5588FVYM},0
{Q6W1-H4TV56LT-8626VUTX},0
{R4H1-C4FF21PU-0929KVQN},0
{R2Z4-U6PI16KU-6565DJNM},0
{A9X5-O6AZ96FW-5360QKHW},0
{Q1N9-B8WS94AO-1663UDQD},0
{T9N2-C2PO90QT-7376TVWQ},0
{G5D7-Y2UE32YN-0461CLZP},0
{J9G7-U0JL48UZ-3086YMXY},0
{O8U3-J4IB62UH-7432YITQ},0
{T4M9-V7XS61GF-0507TIPS},0
{I6J7-M2ZY85LE-0345BFUH},0
{H7N4-H3LF32KK-2431WPSN},0
{S1H9-R6MY25GI-6564WWLS},0
{Z3K9-V9ME60TS-8103LBHU},0
{K7J2-X8PQ24HZ-8920DLXO},0
{R1J7-G9FT47KU-5608JPIT},0
{Y9L3-N3OA60PR-0030DMNJ},0
{E3E6-L0KV59VQ-8289KCHK},0
{B9C4-V7RU62TQ-6354YNXV},0
{Y9A4-A8QT33OI-3342IEZW},0
{K8L4-O4MR50MN-6355NBFX},0
{G5U1-K1GH82YM-8809LTNF},0
{J1W1-A9ZJ10EP-6691LMTQ},0
{H6O4-V8CF17YL-0621LCAG},0
{C5Q4-T0CS33RI-3859GMUF},0
